id	bare_id	position	accented	audio	gramm_case
1	1	1	1			и	и	https://openrussian.org/audio-shtooka/и.mp3	https://openrussian.org/audio-shtooka/и.mp3		
2	2	2	2					https://openrussian.org/audio-shtooka/в.mp3	https://openrussian.org/audio-shtooka/в.mp3		
3	3	3	3					https://openrussian.org/audio-shtooka/не.mp3	https://openrussian.org/audio-shtooka/не.mp3		
4	4	4	4					https://openrussian.org/audio-shtooka/он.mp3	https://openrussian.org/audio-shtooka/он.mp3		
5	5	5	5					https://openrussian.org/audio-shtooka/на.mp3	https://openrussian.org/audio-shtooka/на.mp3		
6	6	6	6			я	я	https://openrussian.org/audio-shtooka/я.mp3	https://openrussian.org/audio-shtooka/я.mp3		
7	7	7	7					https://openrussian.org/audio-shtooka/что.mp3	https://openrussian.org/audio-shtooka/что.mp3		
8	8	8	8			тот	тот	https://openrussian.org/audio-shtooka/тот.mp3	https://openrussian.org/audio-shtooka/тот.mp3		
9	9	9	9			быть	быть	https://openrussian.org/audio-shtooka/быть.mp3	https://openrussian.org/audio-shtooka/быть.mp3		
10	10	10	10					https://openrussian.org/audio-shtooka/с.mp3	https://openrussian.org/audio-shtooka/с.mp3		
11	11	11	11					https://openrussian.org/audio-shtooka/а.mp3	https://openrussian.org/audio-shtooka/а.mp3		
12	12	12	12	2	2	весь	весь	https://openrussian.org/audio-shtooka/весь.mp3	https://openrussian.org/audio-shtooka/весь.mp3		
13	13	13	13					https://openrussian.org/audio-shtooka/это.mp3	https://openrussian.org/audio-shtooka/это.mp3		
14	14	14	14					https://openrussian.org/audio-shtooka/как.mp3	https://openrussian.org/audio-shtooka/как.mp3		
15	15	15	15					https://openrussian.org/audio-shtooka/она.mp3	https://openrussian.org/audio-shtooka/она.mp3		
16	16	16	16					https://openrussian.org/audio-shtooka/по.mp3	https://openrussian.org/audio-shtooka/по.mp3		
17	17	17	17			но	но	https://openrussian.org/audio-shtooka/но.mp3	https://openrussian.org/audio-shtooka/но.mp3		
